抽出語,出現回数,,抽出語,出現回数,,抽出語,出現回数
暗号,6309,,証明,1192,,サービス,747
攻撃,6283,,機能,1175,,分散,747
鍵,5733,,存在,1104,,観測,746
データ,3828,,モデル,1100,,確認,742
提案,3599,,BIT,1087,,要素,739
方式,3411,,ECU,1077,,全て,737
安全,3126,,解析,1071,,式,732
関数,2556,,エリ,1041,,比較,732
CAN,2354,,不正,1038,,Communication,729
出力,2337,,制御,1024,,INSTITUTE,716
定義,2283,,特徴,1021,,ENCRYPTION,712
生成,2225,,乱数,1016,,節,710
通信,2183,,PR,1014,,一般,707
評価,2124,,復号,996,,動作,705
構成,2086,,ネットワーク,971,,状態,704
秘密,1995,,パラメータ,963,,HTTP,702
送信,1958,,対策,935,,OR,701
研究,1911,,ノード,930,,呼ぶ,701
時間,1907,,技術,928,,選択,700
メッセージ,1903,,条件,928,,LOG,694
アルゴリズム,1890,,任意,910,,複数,691
ID,1856,,ゲーム,900,,関係,685
認証,1855,,回路,894,,VOL,684
システム,1839,,Based,893,,分布,680
署名,1791,,平文,891,,求める,673
検知,1780,,識別,873,,実現,673
AS,1673,,個,862,,取得,669
KEY,1653,,仮定,855,,ベクトル,668
プロトコル,1623,,属性,853,,サイズ,667
ユーザ,1602,,適用,853,,SYSTEM,663
セキュリティ,1594,,同様,834,,MOD,660
サーバ,1517,,演算,832,,Springer,654
確率,1486,,Scheme,814,,Attack,652
ビット,1468,,曲線,812,,例,649
次,1454,,表す,810,,操作,647
Information,1437,,与える,807,,文献,647
文,1409,,Algorithm,800,,受信,645
SECURITY,1404,,対応,799,,説明,644
満たす,1384,,差分,795,,設定,639
問題,1360,,抽出,795,,環境,638
ク,1338,,多項式,780,,部分,632
公開,1312,,アクセス,775,,NO,631
IF,1310,,管理,775,,SECURE,627
検証,1302,,Which,767,,リスト,625
実装,1272,,上,764,,機器,622
PK,1258,,JAPAN,762,,変換,621
方法,1244,,集合,761,,効率,618
検索,1234,,匿名,752,,楕円,614
SK,1206,,THEN,751,,回,612
実験,1202,,秘匿,750,,学習,610
