抽出語,出現回数,,抽出語,出現回数,,抽出語,出現回数
攻撃,6908,,演算,1171,,距離,840
暗号,5753,,メッセージ,1170,,要素,839
鍵,4719,,解析,1170,,与える,820
データ,4337,,特徴,1165,,JAPAN,817
提案,3782,,検証,1137,,平文,817
方式,3265,,機能,1118,,INSTITUTE,816
安全,2848,,ENCRYPTION,1104,,ベース,809
認証,2848,,証明,1101,,受信,802
評価,2777,,集合,1086,,LOG,797
出力,2462,,PR,1079,,曲線,787
研究,2322,,確認,1067,,文献,786
関数,2269,,状態,1031,,上,779
生成,2256,,復号,1023,,測定,779
ビット,2142,,制御,1020,,一般,777
定義,2118,,Scheme,1016,,求める,776
構成,2068,,BASED,1014,,COM,774
セキュリティ,2056,,SK,995,,発生,771
システム,2053,,乱数,991,,節,766
CAN,2042,,ECU,984,,不正,765
アルゴリズム,1947,,設定,984,,マル,760
時間,1930,,適用,970,,機器,759
AS,1879,,分布,970,,ウェア,755
通信,1863,,表す,968,,Secure,754
KEY,1847,,端末,959,,既存,751
送信,1842,,任意,956,,多項式,748
秘密,1726,,個,951,,HTTP,746
確率,1709,,BIT,949,,Communication,744
次,1686,,対応,948,,学習,742
実験,1684,,環境,946,,写像,742
SECURITY,1674,,技術,945,,複数,741
ID,1656,,ALGORITHM,944,,効率,736
INFORMATION,1610,,検索,940,,例,736
ユーザ,1576,,比較,940,,論文,735
モデル,1513,,仮定,936,,観測,731
実装,1488,,匿名,935,,作成,729
プロトコル,1482,,MOD,934,,抽出,727
検知,1445,,条件,934,,XI,725
対策,1441,,属性,919,,説明,724
問題,1416,,同様,904,,取得,718
サーバ,1395,,パラメータ,903,,実現,717
文,1383,,呼ぶ,902,,同型,717
公開,1354,,秘匿,897,,ENC,715
署名,1329,,差分,893,,式,715
識別,1308,,ネットワーク,867,,Our,713
方法,1294,,回路,867,,エリ,709
IF,1286,,全て,860,,管理,708
満たす,1250,,分析,859,,数,708
存在,1206,,関係,851,,One,706
ク,1205,,Then,849,,カード,704
PK,1188,,VOL,844,,選択,703
