抽出語,出現回数,,抽出語,出現回数,,抽出語,出現回数
データ,3840,,検出,725,,説明,511
攻撃,3410,,作成,723,,Information,509
提案,2305,,比較,721,,画像,509
研究,1820,,精度,720,,検索,506
暗号,1809,,ID,719,,ポート,502
通信,1486,,調査,712,,列,493
学習,1482,,匿名,699,,プロセス,492
認証,1482,,問題,696,,機器,490
評価,1364,,特定,692,,加工,484
秘密,1339,,COM,684,,課題,481
実験,1281,,サーバ,660,,遷移,480
ウェア,1247,,URL,654,,開発,476
関数,1233,,個人,648,,多い,476
検知,1224,,署名,643,,表す,475
特徴,1175,,操作,641,,Using,474
時間,1153,,悪性,633,,証明,473
モデル,1152,,IOT,632,,VOL,472
ユーザ,1135,,発生,630,,論文,471
アクセス,1134,,ログ,618,,種類,470
生成,1101,,ブロック,616,,異常,467
鍵,1088,,分散,616,,個,466
セキュリティ,1087,,経路,605,,参照,465
マル,1086,,推定,604,,ノード,459
分析,1053,,複数,603,,基づく,456
システム,1045,,CAN,602,,環境,453
確認,1031,,適用,602,,目的,453
安全,1009,,サービス,588,,ATTACK,451
WEB,987,,技術,588,,呼ぶ,451
アドレス,967,,対策,587,,節,450
方法,949,,送信,579,,文献,449
コード,938,,識別,572,,NO,448
AS,917,,アルゴリズム,570,,属性,435
SECURITY,917,,観測,566,,ベース,434
方式,915,,分類,560,,ページ,430
構成,903,,ビット,559,,検体,429
サイト,865,,取得,558,,予測,423
ファイル,858,,収集,551,,日,419
検証,853,,設定,551,,一般,418
解析,811,,チェーン,550,,スキャン,416
プロトコル,810,,公開,549,,実施,414
HTTPS,794,,提供,545,,パケット,413
実装,782,,管理,544,,例,411
定義,771,,集合,543,,既存,410
抽出,767,,IP,540,,式,409
ベクトル,756,,確率,540,,KEY,401
機能,748,,実現,539,,全て,400
出力,740,,対応,535,,構築,399
存在,730,,Based,522,,メッセージ,398
ネットワーク,728,,データセット,516,,状態,395
次,726,,パラメータ,516,,変数,395
