抽出語,出現回数,,抽出語,出現回数,,抽出語,出現回数
攻撃,5913,,存在,992,,COM,707
データ,3925,,公開,989,,部分,707
鍵,3670,,If,984,,信号,697
暗号,3504,,次,952,,復元,691
提案,3134,,機能,941,,影響,680
モデル,2438,,対策,920,,コード,677
生成,2307,,比較,916,,リスク,677
評価,2271,,満たす,914,,サイズ,676
研究,2150,,技術,886,,カード,675
出力,1945,,列,885,,異常,671
構成,1860,,作成,884,,抽出,666
システム,1839,,ク,873,,調査,666
学習,1822,,対応,851,,複数,653
アルゴリズム,1821,,乱数,849,,精度,647
方式,1817,,適用,848,,VOL,645
検知,1768,,特定,848,,設定,645
実験,1747,,データセット,844,,発生,639
PP,1692,,識別,844,,検討,638
プロトコル,1686,,ベクトル,840,,説明,636
画像,1637,,サーバ,834,,関係,632
検証,1594,,パラメータ,832,,全て,619
安全,1568,,演算,827,,提供,599
関数,1493,,送信,827,,Algorithm,596
秘密,1417,,回路,826,,デバイス,592
O,1385,,制御,824,,SK,591
特徴,1355,,分類,818,,パターン,587
通信,1321,,集合,810,,選択,584
Information,1301,,取得,781,,任意,582
定義,1283,,証明,781,,INSTITUTE,581
AS,1240,,個,773,,Communication,578
ユーザ,1218,,CAN,772,,WEB,578
認証,1210,,動作,772,,基づく,571
ビット,1208,,HTTPS,768,,遷移,565
方法,1206,,環境,756,,アドレス,562
署名,1191,,解析,754,,プログラム,558
U,1185,,ネットワーク,751,,操作,558
状態,1175,,ノード,745,,秘匿,558
問題,1161,,表す,742,,変換,557
サービス,1157,,文,740,,検出,556
時間,1135,,Based,734,,式,553
Security,1100,,メッセージ,731,,多項式,548
セキュリティ,1091,,課題,728,,取引,545
実装,1089,,与える,726,,判定,543
KEY,1088,,変化,720,,一般,542
確認,1063,,同様,719,,保護,542
アクセス,1035,,呼ぶ,718,,メモリ,538
ブロック,1031,,節,716,,構造,538
確率,1021,,実現,715,,OR,530
ID,1020,,条件,709,,成功,530
分析,1016,,推定,709,,改ざん,528
